,Id,Age,Rank,Year,Time,Pace,Sex,Temp,halfMarathonTime,yrsSinceLast,raceCount,prevRaceCount,nTime,nPace,nRank
11130,6771,25,656,2005,14640,558,1,18.9,,0,1,0,0.371947756956,0.238354326601,0.23828125
11131,6772,25,513,2005,14124,539,1,18.9,,0,1,0,0.290743895514,0.219124990683,0.2197265625
11132,6773,35,1005,2005,16139,616,1,18.9,,0,1,0,0.570130607609,0.294216292763,0.294921875
11133,6774,55,1097,2006,15777,602,1,21.1,,1,2,1,0.442470730723,0.247077471765,0.247619047619
11134,6774,55,807,2005,15291,583,1,18.9,,0,2,0,0.457694491766,0.262614593426,0.2626953125
11135,6775,20,739,2005,15007,572,0,18.9,,0,1,0,0.419080068143,0.252031005441,0.251953125
11136,6776,25,718,2005,14902,568,1,18.9,,0,2,0,0.407155025554,0.248118059179,0.248046875
11137,6776,45,704,2006,14394,549,1,21.1,,1,2,1,0.283811061768,0.201406776303,0.201731601732
11138,6777,35,983,2005,16033,611,1,18.9,,0,1,0,0.557637705849,0.290266080346,0.2900390625
11139,6778,35,464,2005,13985,533,1,18.9,,0,1,0,0.262918796139,0.213944995155,0.2138671875
11140,6779,40,994,2005,16089,614,0,18.9,,0,1,0,0.563884156729,0.292352985019,0.29296875
11141,6780,60,3912,2012,24758,944,1,20.6,,7,2,1,0.99948888321,0.665152185276,0.664910432034
11142,6780,50,1582,2005,19968,762,1,18.9,,0,2,0,0.897785349233,0.436908399791,0.4375
11143,6781,40,1097,2005,16497,629,1,18.9,,0,2,0,0.622373651334,0.307557576209,0.3076171875
11144,6781,45,1143,2010,15645,597,1,21.7,,5,2,1,0.396252602359,0.251364078033,0.251714005877
11145,6782,50,696,2005,14815,565,0,18.9,,0,1,0,0.394662123793,0.244875903704,0.2451171875
11146,6783,25,1169,2005,16850,643,1,18.9,,0,1,0,0.663259511641,0.320712528881,0.3212890625
11147,6784,35,268,2005,13015,496,0,18.9,,0,1,0,0.151618398637,0.177796824924,0.177734375
11148,6785,50,668,2005,14702,561,1,18.9,,0,1,0,0.378762067007,0.240664828203,0.2412109375
11149,6786,50,81,2005,11539,440,1,18.9,,0,1,0,0.045428733674,0.122791980323,0.123046875
11150,6787,40,177,2005,12493,476,0,18.9,,0,1,0,0.0999432140829,0.158343892077,0.158203125
11151,6788,40,50,2005,11184,426,1,18.9,,0,1,0,0.0278250993754,0.109562495342,0.109375
11152,6789,35,650,2005,14601,557,1,18.9,,0,1,0,0.368540601931,0.23690094656,0.2373046875
11153,6790,40,1364,2005,17888,682,1,18.9,,0,1,0,0.773992049972,0.359394797645,0.359375
